text,label
"Love it, great purchase!",positive
"Awful quality, very disappointed.",negative
"Fast shipping and nice packaging.",positive
"Broke after two days.",negative
"Best thing I bought this year.",positive
"Terrible, do not buy.",negative
"Super comfortable and stylish.",positive
"Waste of money.",negative
"Excellent customer service!",positive
"Arrived damaged, very upset.",negative
"Highly recommend to everyone.",positive
"Cheap material, falls apart easily.",negative
"Perfect fit, love the color.",positive
"Stopped working after a week.",negative
"Amazing value for the price.",positive
"Horrible experience, never again.",negative
"My kids love it!",positive
"Completely useless product.",negative
"Great gift idea, well made.",positive
"Looks nothing like the picture.",negative
"Smooth and easy to use.",positive
"Customer support was unhelpful.",negative
"Beautiful design, very happy.",positive
"Smells bad and looks cheap.",negative
"Works perfectly, no complaints.",positive
"Total scam, want a refund.",negative
"Sturdy and well built.",positive
"Missing parts, very frustrating.",negative
"Exceeded all my expectations.",positive
"Poor packaging, arrived broken.",negative
"So soft and cozy!",positive
"Worst purchase ever made.",negative
"Easy to set up, love it.",positive
"Falls apart after first use.",negative
"Five stars, absolutely worth it.",positive
"Not worth a single penny.",negative
"Very practical and useful.",positive
"Terrible smell, had to return.",negative
"Bought two, one for a friend.",positive
"Instructions make no sense.",negative
"Looks even better in person.",positive
"Color faded after one wash.",negative
"Great for everyday use.",positive
"Zipper broke immediately.",negative
"Fantastic quality, will buy again.",positive
"Very flimsy and lightweight.",negative
"Quick delivery, great seller.",positive
"Wrong size, wrong color.",negative
"Happy with my purchase!",positive
"Regret buying this.",negative
